14 45 46 419349  93442
14 45 46 423199 0 93492
14 45 46 426586 0 93542
14 45 46 458357 0 93592
14 45 46 465626 0 93642
14 45 46 510246 0 93692
14 45 46 514163 0 93742
14 45 46 559163 0 93792
14 45 49 284688 0 93842
14 45 49 334830 0 93892
14 45 49 382692 0 93942
14 45 49 435836 
14 45 49 485126 0 93292
14 45 49 534602 0 93342
14 45 49 583271 0 93392
14 45 49 633427 0 93442
14 45 49 695692 0 93492
14 45 49 748621 0 93542
14 45 49 783811 0 93592
14 45 49 833735 0 93642
14 45 49 886426 0 93692
14 45 49 936415 0 93742
14 45 49 984340 0 93792
14 45 50 33896 0 93842
14 45 50 82616 0 93892
14 45 50 137127 0 93942
14 45 50 184832 
14 45 50 235751 0 93292
14 45 50 283776 0 93342
14 45 50 333624 0 93392
14 45 50 386969 0 93442
14 45 50 435878 0 93492
14 45 50 484582 0 93542
14 45 50 537938 0 93592
14 45 50 587404 0 93642
14 45 50 636645 0 93692
14 45 50 684806 0 93742
14 45 50 750113 0 93792
14 45 50 787177 0 93842
14 45 50 836746 0 93892
14 45 50 886168 0 93942
14 45 50 935368 0 1999
14 45 50 988621 0 2049
14 45 51 38017 0 2099
14 45 51 86939 0 2149
14 45 51 136281 0 2199
14 45 51 185443 0 2249
14 45 51 251159 0 2299
14 45 51 297911 0 2349
14 45 51 347703 0 2399
14 45 51 385975 0 2449
14 45 51 435009 0 2499
14 45 51 489092 0 2549
14 45 51 536817 0 2599
14 45 51 585353 0 2649
14 45 51 639697 0 2699
14 45 51 688623 0 2749
14 45 51 738175 0 2799
14 45 51 786615 0 2849
14 45 51 836401 0 2899
14 45 51 888952 0 2949
14 45 51 938949 0 2999
14 45 51 987752 0 3049
14 45 52 37172 0 3099
14 45 52 89590 0 3149
14 45 52 139196 0 3200
14 45 52 189057 0 3250
14 45 52 238138 0 3300
14 45 52 287018 0 3350
14 45 52 340196 0 3400
14 45 52 389466 0 3450
14 45 52 437983 0 3500
