14 59 24 862173 4174
14 59 24 884433 0 54224
14 59 24 908140 0 54274
14 59 24 911139 0 54324
14 59 24 959451 0 54374
14 59 24 962455 0 54424
14 59 25 7952 0 54474
14 59 25 12108 
14 59 25 65316 0 53823
14 59 25 68343 0 53873
14 59 25 102806 0 53923
14 59 25 106209 0 53974
14 59 25 162288 0 54024
14 59 25 165231 0 54074
14 59 25 210383 0 54124
14 59 25 213975 0 54174
14 59 25 261690 0 54224
14 59 25 265198 0 54274
14 59 25 308260 0 54324
14 59 25 311417 0 54374
14 59 25 357214 0 54424
14 59 25 360405 0 54474
14 59 27 742467 0 1999
14 59 27 791774 0 2049
14 59 27 840859 0 2099
14 59 27 889936 0 2149
14 59 27 943175 0 2199
14 59 27 992308 0 2249
14 59 28 41432 0 2299
14 59 28 90611 0 2349
14 59 28 139792 0 2399
14 59 28 193058 0 2449
14 59 28 242190 0 2499
14 59 28 291320 0 2549
14 59 28 344628 0 2599
14 59 28 393655 0 2649
14 59 28 443411 0 2699
14 59 28 492750 0 2749
14 59 28 541711 0 2799
14 59 28 594367 0 2849
14 59 28 643526 0 2899
14 59 28 692729 0 2949
14 59 28 741834 0 2999
14 59 28 791034 0 3049
14 59 28 844156 0 3099
14 59 28 893411 0 3149
14 59 28 943089 0 3200
14 59 28 991734 0 3250
14 59 29 44939 0 3300
14 59 29 94129 0 3350
14 59 29 143240 0 3400
14 59 29 192408 0 3450
14 59 29 241598 0 3500
14 59 29 294873 0 3550
14 59 29 343961 0 3600
14 59 29 393075 0 3650
14 59 29 446178 0 3700
14 59 29 495494 0 3750
14 59 29 544641 0 3800
14 59 29 594452 0 3850
14 59 29 643494 0 3900
14 59 29 696043 0 3950
14 59 29 745853 0 4000
14 59 29 794541 0 4050
14 59 29 843646 0 4100
14 59 29 892794 0 4150
14 59 29 945915 0 4200
14 59 29 995198 0 4250
14 59 30 44370 0 4300
14 59 30 93450 0 4350
14 59 30 143233 0 4400
14 59 30 195894 0 4450
14 59 30 245032 0 4500
14 59 30 294194 0 4550
14 59 30 344244 0 4600
14 59 30 397028 0 4651
14 59 30 446239 0 4701
14 59 30 495405 0 4751
14 59 30 547943 0 4801
14 59 30 598309 0 4851
14 59 30 646444 0 4901
14 59 30 695601 0 4951
14 59 30 744738 0 5001
14 59 30 797857 0 5051
14 59 30 847167 0 5101
14 59 30 896238 0 5151
14 59 30 945404 0 5201
14 59 30 995175 0 5251
14 59 31 47933 0 5301
14 59 31 96960 0 5351
14 59 31 146174 0 5401
14 59 31 195283 0 5451
14 59 31 248540 0 5501
14 59 31 297631 0 5551
14 59 31 346777 0 5601
14 59 31 396001 0 5651
14 59 31 445650 0 5701
14 59 31 498840 0 5751
14 59 31 548003 0 5801
14 59 31 598449 0 5851
14 59 31 646319 0 5901
14 59 31 699293 0 5951
14 59 31 748746 0 6001
14 59 31 797884 0 6051
14 59 31 846457 0 6102
14 59 31 899632 0 6152
14 59 31 948837 0 6202
14 59 31 998110 0 6252
14 59 32 47216 0 6302
14 59 32 100231 0 6352
14 59 32 149434 0 6402
14 59 32 198890 0 6452
14 59 32 247882 0 6502
14 59 32 296981 0 6552
14 59 32 350274 0 6602
14 59 32 399480 0 6652
14 59 32 448534 0 6702
14 59 32 497692 0 6752
14 59 32 546932 0 6802
14 59 32 600130 0 6852
14 59 32 649278 0 6902
14 59 32 698425 0 6952
14 59 32 747554 0 7002
14 59 32 800590 0 7052
14 59 32 849915 0 7102
14 59 32 900234 0 7152
14 59 32 948745 0 7202
14 59 33 1502 0 7252
14 59 33 50701 0 7302
14 59 33 100019 0 7352
14 59 33 148940 0 7402
14 59 33 198121 0 7452
14 59 33 251536 0 7502
14 59 33 301067 0 7552
14 59 33 350110 0 7602
14 59 33 398835 0 7652
14 59 33 447895 0 7702
14 59 33 501221 0 7752
14 59 33 550359 0 7802
14 59 33 600073 0 7852
14 59 33 649248 0 7902
14 59 33 697816 0 7952
14 59 33 751039 0 8002
14 59 33 800186 0 8052
14 59 33 849307 0 8102
14 59 33 898481 0 8152
14 59 33 951580 0 8202
14 59 34 972 0 8252
14 59 34 50042 0 8302
14 59 34 99200 0 8352
14 59 34 152279 0 8402
14 59 34 201849 0 8452
14 59 34 251348 0 8502
14 59 34 300357 0 8552
14 59 34 349059 0 8602
14 59 34 402346 0 8652
14 59 34 451386 0 8702
14 59 34 500579 0 8752
14 59 34 549705 0 8802
14 59 34 598936 0 8852
14 59 34 652116 0 8902
14 59 34 701261 0 8952
14 59 34 750395 0 9003
14 59 34 799587 0 9053
14 59 34 852761 0 9103
14 59 34 902607 0 9153
14 59 34 951834 0 9203
14 59 35 2265 0 9253
14 59 35 53288 0 9303
14 59 35 103277 0 9353
14 59 35 152312 0 9403
14 59 35 201354 0 9453
14 59 35 254142 0 9503
14 59 35 303414 0 9553
14 59 35 352555 0 9603
14 59 35 401609 0 9653
14 59 35 450781 0 9703
14 59 35 504903 0 9753
14 59 35 553728 0 9803
14 59 35 602806 0 9853
14 59 35 652000 0 9903
14 59 35 700631 0 9953
14 59 35 753858 0 10003
14 59 35 803060 0 10053
14 59 35 852200 0 10103
14 59 35 901347 0 10153
14 59 35 950477 0 10203
14 59 36 3775 0 10253
14 59 36 52882 0 10303
14 59 36 102069 0 10353
14 59 36 155148 0 10403
