15 1 25 492497 654
15 1 25 510241 0 119704
15 1 25 513543 0 119754
15 1 25 558718 0 119804
15 1 25 562656 119203
15 1 25 605264 0 119254
15 1 25 608750 0 119304
15 1 25 666253 0 119354
15 1 25 675463 0 119404
15 1 25 705788 0 119454
15 1 25 708894 0 119504
15 1 25 757938 0 119554
15 1 25 760940 0 119604
15 1 25 805920 0 119654
15 1 25 810087 0 119704
15 1 25 858535 0 119754
15 1 25 861693 0 119804
15 1 25 907499 119203
15 1 25 910589 0 119254
15 1 25 956954 0 119304
15 1 25 960270 0 119354
15 1 28 384396 0 119404
15 1 28 433818 0 119454
15 1 28 482439 0 119504
15 1 28 530999 0 119554
15 1 28 580874 0 119604
15 1 28 648930 0 119654
15 1 28 694691 0 119704
15 1 28 745686 0 119754
15 1 28 793238 0 119804
15 1 28 844390 0 1999
15 1 28 883679 0 2049
15 1 28 932912 0 2099
15 1 28 981877 0 2149
15 1 29 30616 0 2199
15 1 29 94362 0 2249
15 1 29 134191 0 2299
15 1 29 194510 0 2349
15 1 29 247426 0 2399
15 1 29 292880 0 2449
15 1 29 338746 0 2499
15 1 29 393817 0 2549
15 1 29 432917 0 2599
15 1 29 481679 0 2649
15 1 29 534231 0 2699
15 1 29 584336 0 2749
15 1 29 632665 0 2799
15 1 29 682398 0 2849
15 1 29 735901 0 2899
15 1 29 785637 0 2949
15 1 29 833489 0 2999
15 1 29 883481 0 3049
15 1 29 944402 0 3099
15 1 29 996254 0 3149
15 1 30 46667 0 3200
15 1 30 95177 0 3250
15 1 30 148215 0 3300
15 1 30 182522 0 3350
15 1 30 235331 0 3400
15 1 30 284357 0 3450
15 1 30 332923 0 3500
15 1 30 382321 0 3550
15 1 30 435362 0 3600
15 1 30 485091 0 3650
15 1 30 533295 0 3700
15 1 30 583104 0 3750
15 1 30 650195 0 3800
15 1 30 695928 0 3850
15 1 30 747602 0 3900
15 1 30 796093 0 3950
15 1 30 848862 0 4000
15 1 30 886296 0 4050
15 1 30 947379 0 4100
15 1 30 996739 0 4150
15 1 31 37044 0 4200
15 1 31 87231 0 4250
15 1 31 136767 0 4300
15 1 31 198050 0 4350
15 1 31 247141 0 4400
15 1 31 300196 0 4450
15 1 31 350530 0 4500
15 1 31 397668 0 4550
15 1 31 435837 0 4600
15 1 31 496326 0 4651
15 1 31 551226 0 4701
15 1 31 596748 0 4751
15 1 31 635810 0 4801
15 1 31 684743 0 4851
15 1 31 739264 0 4901
15 1 31 787077 0 4951
15 1 31 836422 0 5001
15 1 31 885229 0 5051
15 1 31 936144 0 5101
15 1 31 987913 0 5151
15 1 32 37953 0 5201
15 1 32 94437 0 5251
15 1 32 151803 0 5301
15 1 32 197437 0 5351
15 1 32 239129 0 5401
15 1 32 287065 0 5451
15 1 32 336396 0 5501
15 1 32 385177 0 5551
15 1 32 438868 0 5601
15 1 32 497990 0 5651
15 1 32 550537 0 5701
15 1 32 595970 0 5751
15 1 32 640196 0 5801
15 1 32 688142 0 5851
15 1 32 738711 0 5901
15 1 32 786315 0 5951
15 1 32 836170 0 6001
15 1 32 889094 0 6051
15 1 32 950964 0 6102
15 1 32 997011 0 6152
15 1 33 55321 0 6202
15 1 33 99626 0 6252
15 1 33 156837 0 6302
15 1 33 198708 0 6352
15 1 33 250886 0 6402
15 1 33 300899 0 6452
15 1 33 355667 0 6502
15 1 33 398648 0 6552
15 1 33 438338 0 6602
15 1 33 487043 0 6652
15 1 33 541800 0 6702
15 1 33 589515 0 6752
15 1 33 639212 0 6802
15 1 33 697013 0 6852
15 1 33 737846 0 6902
15 1 33 790092 0 6952
15 1 33 840925 0 7002
15 1 33 888509 0 7052
15 1 33 938562 0 7102
15 1 33 990764 0 7152
15 1 34 40667 0 7202
15 1 34 88939 0 7252
15 1 34 138756 0 7302
15 1 34 200569 0 7352
15 1 34 254934 0 7402
15 1 34 299482 0 7452
15 1 34 340863 0 7502
15 1 34 388001 0 7552
15 1 34 441381 0 7602
15 1 34 490542 0 7652
15 1 34 540831 0 7702
15 1 34 588806 0 7752
15 1 34 637982 0 7802
15 1 34 691130 0 7852
15 1 34 741000 0 7902
15 1 34 789461 0 7952
15 1 34 840350 0 8002
15 1 34 888630 0 8052
15 1 34 954238 0 8102
15 1 35 345 0 8152
15 1 35 54070 0 8202
15 1 35 102045 0 8252
15 1 35 141902 0 8302
15 1 35 190855 0 8352
15 1 35 240238 0 8402
15 1 35 289229 0 8452
15 1 35 356230 0 8502
15 1 35 391907 0 8552
15 1 35 441130 0 8602
15 1 35 490096 0 8652
15 1 35 543450 0 8702
15 1 35 592357 0 8752
15 1 35 643409 0 8802
15 1 35 690596 0 8852
15 1 35 739961 0 8902
15 1 35 792873 0 8952
15 1 35 843756 0 9003
