15 21 5 404899  92920
15 21 11 355963 14 92971
15 21 17 307677 14 93021
15 21 23 260248 14 93071
15 21 23 689955 14 93121
15 21 24 119752 14 93171
15 21 24 549112 14 93221
15 21 24 979630 14 93271
15 21 25 410236 14 93321
15 21 25 839788 14 93371
15 21 26 270440  92770
15 21 26 700120 14 92820
15 21 27 131101 14 92870
15 21 27 559396 14 92920
15 21 27 989515 14 92971
15 21 28 419465 14 93021
15 21 28 849809 14 93071
15 21 29 280047 14 93121
15 21 29 709886 14 93171
15 21 30 139928 14 93221
15 21 30 569832 14 93271
15 21 31 246 14 93321
15 21 31 430027 14 93371
15 21 33 423777 4336 1999
15 21 33 852769 4298 2049
15 21 34 282961 3977 2099
15 21 34 712494 3420 2149
15 21 35 142397 3223 2199
15 21 35 573008 3354 2249
15 21 36 3216 3155 2299
15 21 36 432892 2838 2349
15 21 36 862318 2726 2399
15 21 37 292098 2753 2449
15 21 37 722562 2750 2499
15 21 38 153139 2629 2549
15 21 38 583637 2333 2599
15 21 39 13014 2030 2649
15 21 39 443140 2004 2699
15 21 39 873553 2033 2749
15 21 40 303536 1701 2799
15 21 43 280003 1506 2849
15 21 46 256125 1602 2899
15 21 49 232383 1647 2949
15 21 52 208327 1374 2999
15 21 55 184003 1265 3049
15 21 58 159574 1348 3099
15 22 1 135299 1359 3149
15 22 7 86630 1077 3200
