14 36 36 823015  195938
14 36 36 869024 0 195988
14 36 36 885972 0 196038
14 36 36 921243 195438
14 36 36 943115 0 195488
14 36 36 955969 0 195538
14 36 36 959590 0 195588
14 36 37 2528 0 195638
14 36 37 5579 0 195688
14 36 37 64050 0 195738
14 36 37 67318 0 195788
14 36 37 114450 0 195838
14 36 37 125466 0 195888
14 36 37 161194 0 195938
14 36 37 165228 0 195988
14 36 37 206580 0 196038
14 36 39 703145 0 1999
14 36 39 752768 0 2049
14 36 39 804847 0 2099
14 36 39 854127 0 2149
14 36 39 903234 0 2199
14 36 39 952356 0 2249
14 36 40 5466 0 2299
14 36 40 54845 0 2349
14 36 40 103887 0 2399
14 36 40 154032 0 2449
14 36 40 202988 0 2499
14 36 40 255732 0 2549
14 36 40 305059 0 2599
14 36 40 354240 0 2649
14 36 40 403486 0 2699
14 36 40 452712 0 2749
14 36 40 505299 0 2799
14 36 40 554457 0 2849
14 36 40 603659 0 2899
14 36 40 652788 0 2949
14 36 40 701880 0 2999
14 36 40 755139 0 3049
14 36 40 804785 0 3099
14 36 40 853911 0 3149
14 36 40 906625 0 3200
14 36 40 955824 0 3250
14 36 41 5000 0 3300
14 36 41 54165 0 3350
14 36 41 107284 0 3400
14 36 41 156547 0 3450
14 36 41 205700 0 3500
14 36 41 254875 0 3550
14 36 41 304077 0 3600
14 36 41 357105 0 3650
14 36 41 407548 0 3700
14 36 41 455987 0 3750
14 36 41 504684 0 3800
14 36 41 553829 0 3850
14 36 41 607194 0 3900
14 36 41 656253 0 3950
14 36 41 705857 0 4000
14 36 41 754516 0 4050
14 36 41 803676 0 4100
14 36 41 856922 0 4150
14 36 41 906014 0 4200
14 36 41 955204 0 4250
14 36 42 8252 0 4300
14 36 42 57608 0 4350
14 36 42 106767 0 4400
14 36 42 155880 0 4450
14 36 42 205094 0 4500
14 36 42 258092 0 4550
14 36 42 307503 0 4600
14 36 42 356653 0 4651
14 36 42 406182 0 4701
14 36 42 459133 0 4751
14 36 42 508648 0 4801
14 36 42 557807 0 4851
14 36 42 607680 0 4901
14 36 42 656101 0 4951
14 36 42 709384 0 5001
14 36 42 758609 0 5051
14 36 42 807155 0 5101
14 36 42 856285 0 5151
14 36 42 909555 0 5201
14 36 42 958717 0 5251
14 36 43 7798 0 5301
14 36 43 57002 0 5351
14 36 43 106279 0 5401
14 36 43 159392 0 5451
14 36 43 208497 0 5501
14 36 43 257704 0 5551
14 36 43 306840 0 5601
14 36 43 359918 0 5651
14 36 43 409377 0 5701
14 36 43 458352 0 5751
14 36 43 507523 0 5801
14 36 43 556639 0 5851
14 36 43 609841 0 5901
14 36 43 659097 0 5951
14 36 43 708218 0 6001
14 36 43 757363 0 6051
14 36 43 810581 0 6102
14 36 43 860338 0 6152
14 36 43 909892 0 6202
14 36 43 958589 0 6252
14 36 44 11817 0 6302
14 36 44 60965 0 6352
14 36 44 110244 0 6402
14 36 44 159284 0 6452
14 36 44 208436 0 6502
14 36 44 261652 0 6552
14 36 44 311070 0 6602
14 36 44 359907 0 6652
14 36 44 409233 0 6702
14 36 44 461719 0 6752
14 36 44 511576 0 6802
14 36 44 560647 0 6852
14 36 44 609294 0 6902
14 36 44 662413 0 6952
14 36 44 711535 0 7002
14 36 44 760849 0 7052
14 36 44 809962 0 7102
14 36 44 859140 0 7152
14 36 44 912401 0 7202
14 36 44 961492 0 7252
14 36 45 11564 0 7302
14 36 45 60359 0 7352
14 36 45 109840 0 7402
14 36 45 162236 0 7452
14 36 45 211353 0 7502
14 36 45 260492 0 7552
14 36 45 309791 0 7602
14 36 45 358780 0 7652
14 36 45 412066 0 7702
14 36 45 461198 0 7752
14 36 45 510366 0 7802
14 36 45 559482 0 7852
14 36 45 612607 0 7902
14 36 45 662352 0 7952
14 36 45 718708 0 8002
14 36 45 760198 0 8052
14 36 45 813325 0 8102
14 36 45 862583 0 8152
14 36 45 911791 0 8202
14 36 45 960961 0 8252
14 36 46 10065 0 8302
14 36 46 63199 0 8352
14 36 46 112561 0 8402
14 36 46 162071 0 8452
14 36 46 210714 0 8502
14 36 46 260270 0 8552
14 36 46 313157 0 8602
14 36 46 362280 0 8652
14 36 46 411416 0 8702
14 36 46 460540 0 8752
14 36 46 512519 0 8802
14 36 46 562995 0 8852
14 36 46 612146 0 8902
14 36 46 661267 0 8952
14 36 46 714257 0 9003
14 36 46 763644 0 9053
14 36 46 812743 0 9103
14 36 46 861914 0 9153
14 36 46 915113 0 9203
14 36 46 964352 0 9253
14 36 47 13501 0 9303
14 36 47 62631 0 9353
14 36 47 111752 0 9403
14 36 47 165052 0 9453
14 36 47 215085 0 9503
14 36 47 263337 0 9553
14 36 47 312577 0 9603
14 36 47 361636 0 9653
14 36 47 414876 0 9703
14 36 47 464027 0 9753
14 36 47 513441 0 9803
14 36 47 562299 0 9853
14 36 47 611499 0 9903
14 36 47 664702 0 9953
14 36 47 713865 0 10003
14 36 47 763192 0 10053
14 36 47 816054 0 10103
14 36 47 865436 0 10153
14 36 47 914730 0 10203
14 36 47 963726 0 10253
14 36 48 12813 0 10303
14 36 48 66001 0 10353
14 36 48 115240 0 10403
14 36 48 164373 0 10454
14 36 48 213549 0 10504
14 36 48 266754 0 10554
14 36 48 315973 0 10604
14 36 48 365102 0 10654
14 36 48 414242 0 10704
14 36 48 463449 0 10754
14 36 48 516675 0 10804
14 36 48 565894 0 10854
14 36 48 614962 0 10904
14 36 48 664089 0 10954
14 36 48 717333 0 11004
14 36 48 766443 0 11054
14 36 48 816426 0 11104
14 36 48 866177 0 11154
14 36 48 917940 0 11204
14 36 48 967180 0 11254
14 36 49 16308 0 11304
14 36 49 65474 0 11354
14 36 49 114633 0 11404
14 36 49 167800 0 11454
14 36 49 217015 0 11504
14 36 49 266147 0 11554
14 36 49 315319 0 11604
14 36 49 364437 0 11654
14 36 49 418289 0 11704
14 36 49 467504 0 11754
14 36 49 516560 0 11804
14 36 49 565634 0 11854
14 36 49 614323 0 11904
14 36 49 667502 0 11954
14 36 49 716712 0 12004
14 36 49 765859 0 12054
