8 57 1 17610 05447
8 57 1 64987 -1 105497
8 57 1 68439 -1 105547
8 57 1 108588 -1 105597
8 57 1 112633 -1 105647
8 57 1 159637 -1 105697
8 57 1 163979 05147
8 57 1 209074 -1 105197
8 57 1 213121 -1 105247
8 57 1 259179 -1 105297
8 57 1 263254 -1 105347
8 57 1 311078 -1 105397
8 57 1 314093 -1 105447
8 57 1 359837 -1 105497
8 57 1 362924 -1 105547
8 57 1 411881 -1 105597
8 57 1 416226 -1 105647
8 57 1 458355 -1 105697
8 57 3 900219 0 1999
8 57 3 949024 0 2049
8 57 3 998520 0 2099
8 57 4 47536 0 2149
8 57 4 96607 0 2199
8 57 4 150176 0 2249
8 57 4 199475 0 2299
8 57 4 248143 0 2349
8 57 4 297397 0 2399
8 57 4 346736 0 2449
8 57 4 399745 0 2499
8 57 4 448863 0 2549
8 57 4 498170 0 2599
8 57 4 547321 0 2649
8 57 4 596692 0 2699
8 57 4 649664 0 2749
8 57 4 699112 0 2799
8 57 4 747950 0 2849
8 57 4 797412 0 2899
8 57 4 846382 0 2949
8 57 4 899527 0 2999
8 57 4 948602 0 3049
8 57 4 997719 0 3099
8 57 5 47082 0 3149
8 57 5 100600 0 3200
8 57 5 149633 0 3250
8 57 5 198594 0 3300
8 57 5 251602 0 3350
8 57 5 301197 0 3400
8 57 5 350311 0 3450
8 57 5 399253 0 3500
8 57 5 448597 0 3550
8 57 5 501639 0 3600
8 57 5 550973 0 3650
8 57 5 600055 0 3700
8 57 5 649157 0 3750
8 57 5 698604 0 3800
8 57 5 751667 0 3850
8 57 5 800962 0 3900
8 57 5 850023 0 3950
8 57 5 899116 0 4000
8 57 5 952409 0 4050
8 57 6 1662 0 4100
8 57 6 50638 0 4150
8 57 6 99777 0 4200
8 57 6 149137 0 4250
8 57 6 202148 0 4300
8 57 6 251512 0 4350
8 57 6 300467 0 4400
8 57 6 349503 0 4450
8 57 6 399080 0 4500
8 57 6 451963 0 4550
8 57 6 501183 0 4600
8 57 6 550472 0 4651
8 57 6 603476 0 4701
8 57 6 652914 0 4751
8 57 6 701840 0 4801
8 57 6 750992 0 4851
8 57 6 804386 0 4901
8 57 6 853547 0 4951
8 57 6 902706 0 5001
8 57 6 951808 0 5051
8 57 7 1171 0 5101
8 57 7 54259 0 5151
8 57 7 103344 0 5201
8 57 7 152346 0 5251
8 57 7 201864 0 5301
8 57 7 250683 0 5351
8 57 7 304354 0 5401
8 57 7 353124 -1 5451
8 57 7 402349 -1 5501
8 57 7 451685 -1 5551
8 57 7 500896 -1 5601
8 57 7 553846 -1 5651
8 57 7 603331 -1 5701
8 57 7 652103 -1 5751
8 57 7 701678 -1 5801
8 57 7 754298 -1 5851
8 57 7 803919 -1 5901
8 57 7 852945 -1 5951
8 57 7 902099 -1 6001
8 57 7 955269 -1 6051
8 57 8 4448 -1 6102
8 57 8 53871 -1 6152
8 57 8 103146 -1 6202
8 57 8 155866 -1 6252
8 57 8 205411 -1 6302
8 57 8 254526 -1 6352
8 57 8 303502 -1 6402
8 57 8 353018 -1 6452
8 57 8 405797 -1 6502
8 57 8 455410 -1 6552
8 57 8 504380 -1 6602
8 57 8 553284 -1 6652
8 57 8 602623 -1 6702
8 57 8 656035 -1 6752
8 57 8 705147 -1 6802
8 57 8 753989 -1 6852
8 57 8 803623 -1 6902
8 57 8 856400 -1 6952
8 57 8 905953 -1 7002
8 57 8 955071 -1 7052
8 57 9 4239 -1 7102
8 57 9 53008 -1 7152
8 57 9 106397 -1 7202
8 57 9 155731 -1 7252
8 57 9 204705 -1 7302
8 57 9 253895 -1 7352
8 57 9 306938 -1 7402
8 57 9 356426 -1 7452
8 57 9 405769 -1 7502
8 57 9 454613 -1 7552
8 57 9 503992 -1 7602
8 57 9 556947 -1 7652
8 57 9 606297 -1 7702
8 57 9 655255 -1 7752
8 57 9 704485 -1 7802
8 57 9 753659 -1 7852
8 57 9 806755 -1 7902
8 57 9 855998 -1 7952
8 57 9 905372 -1 8002
8 57 9 954469 -1 8052
8 57 10 7688 -1 8102
8 57 10 56588 -1 8152
8 57 10 105924 -1 8202
8 57 10 154936 -1 8252
8 57 10 204251 -1 8302
8 57 10 257284 -1 8352
8 57 10 306966 -1 8402
8 57 10 355755 -1 8452
8 57 10 404908 -1 8502
8 57 10 458106 -1 8552
8 57 10 507689 -1 8602
8 57 10 556377 -1 8652
8 57 10 605935 -1 8702
8 57 10 654837 -1 8752
8 57 10 707824 -1 8802
8 57 10 757418 -1 8852
8 57 10 806606 -1 8902
8 57 10 855386 -1 8952
8 57 10 908804 -1 9003
8 57 10 958042 -1 9053
8 57 11 6946 -1 9103
8 57 11 56102 -1 9153
8 57 11 109427 -1 9203
8 57 11 158521 -1 9253
8 57 11 207709 -1 9303
8 57 11 257055 -1 9353
8 57 11 306249 -1 9403
8 57 11 359693 -1 9453
8 57 11 408685 -1 9503
8 57 11 457635 -1 9553
8 57 11 506778 -1 9603
8 57 11 555824 -1 9653
8 57 11 609179 -1 9703
8 57 11 658235 -1 9753
8 57 11 707846 -1 9803
8 57 11 756447 0 9853
8 57 11 805986 1 9903
8 57 11 858927 1 9953
8 57 11 908412 1 10003
8 57 11 957183 1 10053
8 57 12 10454 1 10103
8 57 12 59677 1 10153
8 57 12 108883 1 10203
8 57 12 157824 1 10253
8 57 12 207605 1 10303
8 57 12 260662 1 10353
8 57 12 309961 1 10403
8 57 12 358690 1 10454
8 57 12 407960 1 10504
8 57 12 461265 1 10554
8 57 12 510309 1 10604
8 57 12 559405 1 10654
8 57 12 608924 1 10704
8 57 12 657684 1 10754
8 57 12 711438 1 10804
8 57 12 760156 1 10854
8 57 12 809396 1 10904
8 57 12 858478 1 10954
8 57 12 911776 1 11004
8 57 12 960834 1 11054
8 57 13 10032 1 11104
8 57 13 59527 1 11154
8 57 13 112234 1 11204
8 57 13 161864 1 11254
8 57 13 210989 1 11304
8 57 13 260125 1 11354
8 57 13 309364 1 11404
8 57 13 362355 1 11454
8 57 13 411541 1 11504
8 57 13 460678 1 11554
8 57 13 509903 1 11604
8 57 13 558857 1 11654
