14 4 15 158511 00
14 4 15 181172 0 3950
14 4 15 204174 0 4000
14 4 15 208314 0 4050
14 4 15 255811 0 4100
14 4 15 259525 0 4150
14 4 15 304835 0 4200
14 4 15 309881 0 4250
14 4 15 354642 0 4300
14 4 15 359109 0 4350
14 4 15 404594 0 4400
14 4 18 34482 0 1999
14 4 18 83456 0 2049
14 4 18 136671 0 2099
14 4 18 185773 0 2149
14 4 18 234941 0 2199
14 4 18 284471 0 2249
14 4 18 337814 0 2299
14 4 18 386758 0 2349
14 4 18 435843 0 2399
14 4 18 484820 0 2449
14 4 18 534055 0 2499
14 4 18 587358 0 2549
14 4 18 636560 0 2599
14 4 18 685596 0 2649
14 4 18 734729 0 2699
14 4 18 787755 0 2749
14 4 18 837057 0 2799
14 4 18 886136 0 2849
14 4 18 935435 0 2899
14 4 18 984626 0 2949
14 4 19 37740 0 2999
14 4 19 86925 0 3049
14 4 19 136060 0 3099
14 4 19 185357 0 3149
14 4 19 238398 0 3200
14 4 19 287754 0 3250
14 4 19 336822 0 3300
14 4 19 386234 0 3350
14 4 19 439132 0 3400
14 4 19 488318 0 3450
14 4 19 537899 0 3500
14 4 19 586943 0 3550
14 4 19 635720 0 3600
14 4 19 689014 0 3650
14 4 19 738163 0 3700
14 4 19 787266 0 3750
14 4 19 836433 0 3800
14 4 19 889846 0 3850
14 4 19 938779 0 3900
14 4 19 987973 0 3950
14 4 20 37299 0 4000
14 4 20 90238 0 4050
14 4 20 139382 0 4100
14 4 20 188597 0 4150
14 4 20 238098 0 4200
14 4 20 287304 0 4250
14 4 20 340132 0 4300
14 4 20 389371 0 4350
14 4 20 438614 0 4400
14 4 20 487580 0 4450
14 4 20 536773 0 4500
14 4 20 590094 0 4550
14 4 20 639641 0 4600
14 4 20 688283 0 4651
14 4 20 737766 0 4701
14 4 20 790772 0 4751
14 4 20 840171 0 4801
14 4 20 889074 0 4851
14 4 20 942159 0 4901
14 4 20 991133 0 4951
14 4 21 40611 0 5001
